review_id,sent_idx,sentence,aspects,sentiments,recommendations
96,0,"Sản phẩm tốt, nhưng pin không trâu như mình nghĩ...xài cả ngày 2,3 tiếng chỉ lướt fb mà pin tuột quá mau","['battery', 'general']","{'battery': 'Negative', 'general': 'Positive'}","['Cải thiện hiệu suất pin', 'Tối ưu hóa tiêu thụ pin']"
1401,0,Hàng chất lượng sai rất ok cho thế giới đi đông 5 sao .Mình mua hơn 4 tháng mà thấy rất tuyệt vời thanks nhà bạn hàng số 1 Viêt Năm.,"['battery', 'design', 'camera', 'performance', 'storage', 'ser&acc', 'general']","{'battery': 'Neutral', 'design': 'Positive', 'camera': 'Neutral', 'performance': 'Positive', 'storage': 'Neutral', 'ser&acc': 'Neutral', 'general': 'Positive'}","['Không có phản hồi yêu cầu hoặc đề xuất cải tiến cụ thể trong đánh giá này. Vì vậy', 'tôi không thể cung cấp các khuyến nghị dựa trên quy tắc đã chỉ định. Nếu bạn có thêm thông tin hoặc yêu cầu cụ thể', 'vui lòng cung cấp']"
1995,0,"E mới mưa đc 2 tháng. Mà e mới cập nhật phiên bản miui mới nhất  , e sử dụng thấy nó tụt pin nhanh quá. Mún xuống lại bản cập nhật cũ thì làm sao ạ","['battery', 'ser&acc']","{'battery': 'Negative', 'ser&acc': 'Neutral'}","['Cải thiện hiệu suất pin trên phiên bản cập nhật mới', 'Kiểm tra xem có bản cập nhật cũ nào có hiệu suất pin tốt hơn không']"
1987,0,"Mới mua hôm nay giao hàng ngay hôm nay rất nhanh :)) Hàng đã sài tc r giờ sài tiếp nói chung em này quá oke rồi  . quá ok với giá tiền , thanks shop .","['price', 'design', 'general']","{'price': 'Positive', 'design': 'Neutral', 'general': 'Positive'}",[]
859,0,Sao máy lúc nào cũng nóng vậy nhỉ mk có để treo zallo messager rồi xem Youtube mà đã lên 41 độ ui,"['battery', 'performance']","{'battery': 'Neutral', 'performance': 'Negative'}","['Sửa lỗi nhiệt độ máy', 'Cải thiện hiệu suất ứng dụng']"
707,0,"Máy đẹp, mình mua màu xanh, mặt lưng nhìn rất đẹp. Màn hình to, đẹp, mình lướt FB, xem youtube đều rất mượt. Mua được trả góp 0% nữa,rất phù hợp với sinh viên nha các bạn.","['design', 'screen', 'price']","{'design': 'Positive', 'screen': 'Positive', 'price': 'Positive'}","['Không có phản hồi yêu cầu hoặc đề xuất cải tiến cụ thể trong đánh giá này. Vì vậy', 'tôi không thể cung cấp các khuyến nghị dựa trên quy tắc đã cho. Nếu bạn có thêm thông tin hoặc yêu cầu cụ thể', 'vui lòng cung cấp để tôi có thể hỗ trợ bạn tốt hơn']"
1263,0,"Máy tầm này tiền mà chip yếu quá , chơi game lag wifi kém,cam xấu ,mua redmi note 8 ngon hơn (máy này chắc chỉ dùng để lướt wed xem phim và học thôi,ko game đc đâu , cân nhắc trước khi mua :( )","['performance', 'camera', 'price']","{'performance': 'Negative', 'camera': 'Negative', 'price': 'Neutral'}","['Cải thiện hiệu suất phần cứng', 'Cải thiện chất lượng camera']"
290,0,"Sản phẩm rất tốt trong tầm giá, cấu hình mạnh, pin trâu, hđh cũng rất mượt mà. Nói chung không hối hận khi mua","['performance', 'battery', 'design', 'price', 'general']","{'performance': 'Positive', 'battery': 'Positive', 'design': 'Positive', 'price': 'Positive', 'general': 'Positive'}",[]
1978,0,màn hình lâu lâu bị chớp một cái thì làm sao đây ad cứ bị chớp khó chịu quá khởi động lại máy r nó vẫn y như v,"['screen', 'others']","{'screen': 'Negative', 'others': 'Neutral'}","['Sửa lỗi màn hình chớp', 'Cải thiện hiệu suất khởi động']"
1760,0,"Tuyệt vời! Không có chỗ nào để chê cả. Camera sắc nét, pin siêu trâu, sạc quá nhanh, hiệu năng cực mạnh chiến liên quân với free fire cực sướng, màn hình cực to, dung lượng cực lớn nói chung là quá đã. Còn về bình luận không tốt về a70 thì đừng quan tâm vì sau khi cập nhật phần mềm thì sẽ khắc phục được các lỗi kỹ thuật.Bây giờ ai có ý định mua thì nên mua ngay và luôn nhé. Nhân viên TGĐ phục vụ tận tình.","['performance', 'camera', 'battery', 'storage', 'design', 'price', 'general']","{'performance': 'Positive', 'camera': 'Positive', 'battery': 'Positive', 'storage': 'Positive', 'design': 'Positive', 'price': 'Neutral', 'general': 'Positive'}",[]
