review_id,sent_idx,sentence,aspects,sentiments,recommendations
96,0,"Sản phẩm tốt, nhưng pin không trâu như mình nghĩ...xài cả ngày 2,3 tiếng chỉ lướt fb mà pin tuột quá mau","['general', 'battery']","{'general': {'label': 'Negative', 'confidence': 0.7761}, 'battery': {'label': 'Negative', 'confidence': 0.9525}}","['Cải thiện hiệu suất pin', 'Tối ưu tiêu thụ năng lượng khi sử dụng']"
1401,0,Hàng chất lượng sai rất ok cho thế giới đi đông 5 sao .Mình mua hơn 4 tháng mà thấy rất tuyệt vời thanks nhà bạn hàng số 1 Viêt Năm.,['general'],"{'general': {'label': 'Positive', 'confidence': 1.0}}","['Cải thiện chất lượng sản phẩm', 'Giữ vững tiêu chuẩn hàng đầu']"
1995,0,"E mới mưa đc 2 tháng. Mà e mới cập nhật phiên bản miui mới nhất  , e sử dụng thấy nó tụt pin nhanh quá. Mún xuống lại bản cập nhật cũ thì làm sao ạ","['battery', 'features']","{'battery': {'label': 'Negative', 'confidence': 0.8519}, 'features': {'label': 'Negative', 'confidence': 0.4223}}","['Cải thiện hiệu suất pin', 'Thêm tùy chọn hạ cấp phiên bản']"
1987,0,"Mới mua hôm nay giao hàng ngay hôm nay rất nhanh :)) Hàng đã sài tc r giờ sài tiếp nói chung em này quá oke rồi  . quá ok với giá tiền , thanks shop .","['general', 'price', 'ser&acc']","{'general': {'label': 'Positive', 'confidence': 1.0}, 'price': {'label': 'Positive', 'confidence': 1.0}, 'ser&acc': {'label': 'Positive', 'confidence': 0.9924}}","['Cải thiện quy trình giao hàng', 'Giữ chất lượng sản phẩm ổn định']"
859,0,Sao máy lúc nào cũng nóng vậy nhỉ mk có để treo zallo messager rồi xem Youtube mà đã lên 41 độ ui,['performance'],"{'performance': {'label': 'Negative', 'confidence': 0.731}}","['Cải thiện hiệu năng ứng dụng', 'Tối ưu mức tiêu thụ năng lượng']"
707,0,"Máy đẹp, mình mua màu xanh, mặt lưng nhìn rất đẹp. Màn hình to, đẹp, mình lướt FB, xem youtube đều rất mượt. Mua được trả góp 0% nữa,rất phù hợp với sinh viên nha các bạn.","['design', 'screen', 'performance', 'price']","{'design': {'label': 'Positive', 'confidence': 1.0}, 'screen': {'label': 'Positive', 'confidence': 1.0}, 'performance': {'label': 'Positive', 'confidence': 0.9964}, 'price': {'label': 'Positive', 'confidence': 1.0}}","['Cải thiện trải nghiệm mua trả góp', 'Tối ưu hiệu suất lướt FB và xem YouTube']"
1263,0,"Máy tầm này tiền mà chip yếu quá , chơi game lag wifi kém,cam xấu ,mua redmi note 8 ngon hơn (máy này chắc chỉ dùng để lướt wed xem phim và học thôi,ko game đc đâu , cân nhắc trước khi mua :( )","['performance', 'features', 'camera', 'general']","{'performance': {'label': 'Negative', 'confidence': 0.9999}, 'features': {'label': 'Negative', 'confidence': 0.9465}, 'camera': {'label': 'Negative', 'confidence': 0.9999}, 'general': {'label': 'Negative', 'confidence': 1.0}}","['Cải thiện hiệu năng chip xử lý', 'Tối ưu kết nối wifi', 'Nâng cao chất lượng camera']"
290,0,"Sản phẩm rất tốt trong tầm giá, cấu hình mạnh, pin trâu, hđh cũng rất mượt mà. Nói chung không hối hận khi mua","['general', 'performance', 'battery']","{'general': {'label': 'Positive', 'confidence': 1.0}, 'performance': {'label': 'Positive', 'confidence': 1.0}, 'battery': {'label': 'Positive', 'confidence': 1.0}}","['Cải thiện tính năng hỗ trợ khách hàng', 'Thêm hướng dẫn sử dụng chi tiết hơn']"
1978,0,màn hình lâu lâu bị chớp một cái thì làm sao đây ad cứ bị chớp khó chịu quá khởi động lại máy r nó vẫn y như v,"['screen', 'general']","{'screen': {'label': 'Negative', 'confidence': 0.9579}, 'general': {'label': 'Negative', 'confidence': 0.8932}}","['Sửa lỗi chớp màn hình', 'Cải thiện độ ổn định hiển thị']"
1760,0,"Tuyệt vời! Không có chỗ nào để chê cả. Camera sắc nét, pin siêu trâu, sạc quá nhanh, hiệu năng cực mạnh chiến liên quân với free fire cực sướng, màn hình cực to, dung lượng cực lớn nói chung là quá đã. Còn về bình luận không tốt về a70 thì đừng quan tâm vì sau khi cập nhật phần mềm thì sẽ khắc phục được các lỗi kỹ thuật.Bây giờ ai có ý định mua thì nên mua ngay và luôn nhé. Nhân viên TGĐ phục vụ tận tình.","['camera', 'battery', 'features', 'performance', 'screen', 'storage', 'ser&acc', 'general']","{'camera': {'label': 'Positive', 'confidence': 1.0}, 'battery': {'label': 'Positive', 'confidence': 1.0}, 'features': {'label': 'Positive', 'confidence': 1.0}, 'performance': {'label': 'Positive', 'confidence': 1.0}, 'screen': {'label': 'Positive', 'confidence': 0.982}, 'storage': {'label': 'Positive', 'confidence': 0.9859}, 'ser&acc': {'label': 'Positive', 'confidence': 0.7815}, 'general': {'label': 'Positive', 'confidence': 0.9978}}",['Không có khuyến nghị cần cải thiện']
1151,0,"Sản phẩm không tốt máy chạy chậm nhiều lúc bị đơ ,mới mua chưa đc 1 tháng nhưng muốn đổi quá","['performance', 'general']","{'performance': {'label': 'Negative', 'confidence': 0.9999}, 'general': {'label': 'Negative', 'confidence': 0.9324}}","['Sửa lỗi treo máy', 'Tối ưu hiệu năng sản phẩm']"
