review_id,sent_idx,sentence,aspects,sentiments
r-57908318,0,Thay đổi hình nền từ điện thoại được k,['others'],{'others': 'Neutral'}
r-58384931,0,Mới mua hôm qua sáng đọc báo thấy pin này bị thu hồi do lỗi bên Trung Quốc. Muốn đổi sp khác cho yên tâm được không ạ,"['battery', 'general']","{'battery': 'Negative', 'general': 'Negative'}"
r-58388336,0,Mua được 1 tháng rùi. Ổn trong tầm giá pin trâu,"['general', 'battery']","{'general': 'Positive', 'battery': 'Positive'}"
r-57430715,0,"Chán thật, 1 ngày tự reset mấy lần",['others'],{'others': 'Negative'}
r-57885201,0,Sạc dự phòng sạc không vô pin,"['features', 'battery']","{'features': 'Negative', 'battery': 'Negative'}"
r-58690417,0,Mới mua về sạc thử mà 12 phút lên được 3% pin. Để theo dõi thêm 12 ngày nữa nếu vẫn vậy thì đi bảo hành thôi,"['battery', 'ser&acc']","{'battery': 'Negative', 'ser&acc': 'Neutral'}"
r-57903266,0,Bán hàng lỗi không dùng được không gọi đi hay gọi đến được mà trả hàng mất phí 10%.,"['ser&acc', 'others']","{'ser&acc': 'Negative', 'others': 'Negative'}"
r-57012128,0,"Khi mua tôi nói rõ nhu cầu nghe fm, khi đem về sử dụng nghe chỉ được 1 đài, pin tuột rất nhanh dù không dùng, rất không hài lòng về sản phẩm và tư vấn bán hàng","['features', 'battery', 'general', 'ser&acc']","{'features': 'Negative', 'battery': 'Negative', 'general': 'Negative', 'ser&acc': 'Negative'}"
r-57273352,0,Máy dùng oke nhé,['general'],{'general': 'Positive'}
r-58271258,0,Giá quá cao,['price'],{'price': 'Negative'}
